 1 邱盈蓉     55    81    68
 2 羅永璘     85    93    89 
 3 彭信達     43    61    50
 4 羅倫佑     72    81    63
 5 黃義清     86    87    76
 6 陳永詔     86    84    80
 7 賴翔文     26    56    28
 8 陳益潔     25    55    20
 9 陳博翔     78    92    72
10 吳天智     55    76    58
11 蘇陽展     12     5    15
12 陳柏育     22    55    51
13 楊育麟     52    46    45
14 黃清暘     51    56    36
15 鐘永信     43    69    59
16 許通明     35    52    47
17 黃信翔     30    10    25
18 李坤穎     41    20    60
19 黃明凱     55    38    43
20 林聰爾     21    46    17
21 黃崇理     56    84    74
22 賴佳妏     27    54    12
23 楊長啟     57    56    19
24 王俊佳     26    53    30
25 許佳秀     46    86    49
26 李光傲     23    42    19
27 羅啟仁     49    81    79
28 唐健光     50    70    80
29 許永禮     46    62    33
30 陳培健     80    79    58
31 王柏茂     31    77    84
32 王茂嘉     46    52    32
33 邱茗仁     21    30    21
34 李柏程     34    35    35
35 林仁瑄     41    20    30
36 徐容琇     26    28    46
37 林琬玲     19    60    20
38 邱容如     49    44    50
39 王錦程     45    45    43
40 楊銘安     27    42    19
41 陳德齡     23    44    25
42 吳尚平     13    12    30
43 邱仲平     76    70    87
44 王德嘉     31    46    11
45 邱容嘉     21    29    13
46 王鈞文     32    65    53
47 陳容君     47    75    45
48 謝文均     15    33    15
49 沈文慶     16    20    21
50 邱銘輝     48    60    64
